CheckinId,UserName,Light,Smooth,Clean,Sweet,Woody,Zippy,Strong,Hoppy,Floral,Citrus,Milk,Dark,Creamy,Mouthfeel,Soft,Boozy,Caramel,Oatmeal,Dry,Malty,Piney,Grassy,Tart,Sour,Salty,Fruity,Heat,Bitter,Coffee,Roasty,Chocolate,Juicy,Funky,Acidic,Crushable,IBU,ABV,Style,LocationName,LocationId,BeerId,BeerName,BeerRating
625286502,ChrisBallenger,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.0470,Pilsner - Czech,Dot's Hop House,5591122,5210,Mama's Little Yella Pils,3
624478945,ChrisBallenger,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,0.0910,Stout - Imperial Milk / Sweet,The People's Last Stand,125979,52332,The Temptress,3.25
621878639,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0550,Specialty Grain,,0,2289765,Projekt Mayhem,3
621864856,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0.0710,IPA - New England,,0,2642461,Not A Collaboration,3
621864533,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,0.0820,IPA - Imperial / Double,,0,1966351,Leo v. Ursus: Fortem,3.5
617838109,ChrisBallenger,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0.1120,Stout - Imperial Milk / Sweet,HERE Sushi Bar,4907562,2662240,Tennessee Temptress,4.25
617800350,ChrisBallenger,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.0590,Bock - Single / Traditional,HERE Sushi Bar,4907562,2306547,Big Chief's Bock,2.75
617784120,ChrisBallenger,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0.0400,Sour - Gose,HERE Sushi Bar,4907562,2586898,Citrus Jammer,3.5
617783142,ChrisBallenger,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.0600,Witbier,HERE Sushi Bar,4907562,687492,Summer's Wit,3
617771800,ChrisBallenger,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.0450,Brown Ale - English,HERE Sushi Bar,4907562,5773,Southern Pecan,3
598932720,ChrisBallenger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,22,0.0620,Kristallweizen,,0,2544781,Blackberry Crystal Wheat,2.5
598910779,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.0850,Scotch Ale / Wee Heavy,,0,1561902,Wee Heavy,3.5
598891490,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.0750,Porter - Baltic,,0,2256861,Bourbon Barrel Aged Honey Porter,3.5
594142379,ChrisBallenger,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.1000,Stout - Imperial / Double,Whitestone Golf Club,1281385,1612289,N10 Imperial Blended Ale,4
594115823,ChrisBallenger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.0550,"Homebrew, Extra Special / Strong Bitter",,0,2635782,Extra Special Ballenger,3
592028792,ChrisBallenger,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,40,0.0750,Belgian Strong Golden Ale,Electric Cowboy,243097,836,Poperings Hommelbier,3.5
589192656,ChrisBallenger,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.1280,Barleywine - American,,0,2130728,Bishop's Barrel No. 18,4.25
579766816,ChrisBallenger,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0680,IPA - American,Chicken Express,7523749,2381562,Draped Up,4
