"","venueId","venueName","meanRS","venueLat","venueLng"
"1",110042,"Goodfriend Beer Garden and Burger House",3.09848484848485,32.8394,-96.6967
"2",2342,"Meddlesome Moth",3.625,32.7969,-96.8202
"3",219154,"Peticolas Brewing Company",3.58432112068966,32.7968,-96.829
"4",405252,"East Hampton Sandwich Co.",0,32.8497,-96.7877
"5",1108015,"LUCK",3.34638554216867,32.7792,-96.8288
"6",556774,"Community Beer Company",3.56898340248963,32.7918,-96.8163
"7",476348,"Craft and Growler",3.69778481012658,32.7814,-96.7668
"8",417781,"Hopdoddy Burger Bar",3.70833333333333,32.8636,-96.8068
"9",665953,"2014 Big Texas Beer Festival",3.65217391304348,32.7817,-96.7646
"10",452339,"The Music Hall at Fair Park",3.33333333333333,32.7804,-96.7659
"11",228594,"Automobile Building",3.47058823529412,32.7808,-96.7637
"12",27608,"Fair Park",3.85714285714286,32.7796,-96.7617
"13",25050,"Cock and Bull Pub",3.5,32.8131,-96.7536
"14",776201,"Twilite Lounge",4,32.7843,-96.785
"15",1051902,"CBD Provisions",3.375,32.7807,-96.7984
"16",84801,"Gilley's Dallas",4.375,32.7692,-96.7981
"17",2234654,"Untapped Festival Dallas",3.125,32.7689,-96.799
"18",341726,"Jack Mac's Swill & Grill",3.90789473684211,33.0073,-96.7961
"19",679516,"Three Links",4,32.7845,-96.7845
"20",390025,"Four Corners Brewing Co",3.30322580645161,32.7793,-96.8304
"21",624747,"Ellen's",3.6,32.782,-96.8077
"22",2018468,"Off the Record",3.52272727272727,32.7844,-96.784
"23",2498022,"Rodeo Goat",3.375,32.797,-96.8241
"24",2767437,"Big Texas Beer Fest",3.75925925925926,32.7812,-96.7643
"25",30688,"Katy Trail Ice House",3.7375,32.801,-96.8077
"26",2502814,"Dallas Grilled Cheese Co.",3.375,32.7487,-96.8273
"27",822695,"Pecan Lodge",3.52403846153846,32.7837,-96.7839
"28",2348927,"Eureka!",3.98214285714286,32.8082,-96.7959
"29",164753,"Omni Dallas Hotel",3.0625,32.7753,-96.8044
"30",151349,"The Owners Box",3.47368421052632,32.7749,-96.8037
"31",1700003,"Hopdoddy Burger Bar",3.546875,32.8042,-96.7996
"32",3068784,"Omni Dallas Hotel Gym",3,32.776,-96.8044
"33",3149819,"Michael & Tiffany's Playhouse",4,32.8607,-96.7589
"34",3149828,"Sephora Inside JCPenney",3.75,32.8629,-96.7526
"35",66103,"Kay Bailey Hutchison Convention Center",4.08333333333333,32.7746,-96.8003
"36",1724535,"Stock & Barrel",2.25,32.7492,-96.8274
"37",131522,"Jakes Burgers and Beer",3.175,32.7976,-96.8013
"38",212466,"Jake's",3.22727272727273,32.8158,-96.7792
"39",2603734,"Your Speakeasy, LLC",4.5,32.7779,-96.8048
"40",1296,"Flying Saucer Draught Emporium",3.21450151057402,32.9529,-96.8188
"41",3409979,"Whole Foods Market",3.359375,32.7958,-96.8016
"42",312996,"Ten Bells Tavern",3.13461538461538,32.7487,-96.826
"43",1950200,"Braindead Brewing",3.38623910336239,32.7839,-96.7853
"44",1023496,"Gas Monkey Bar N' Grill",4,32.8609,-96.8962
"45",15911,"Libertine Bar",3.75,32.8155,-96.7703
"46",2372017,"On Rotation",3.25,32.8109,-96.7315
"47",165140,"Del Frisco's Grille",3.8125,32.804,-96.7995
"48",1379386,"The Vadican",3.75,32.8028,-96.7653
"49",23592,"Press Box Grill",3.48,32.7812,-96.7975
"50",3847965,"Untapped Festival",4.125,32.7813,-96.7625
"51",2279785,"Meat Fight",1.75,32.7859,-96.7755
"52",2308401,"Noble Rey Brewing Company",3.37766990291262,32.8031,-96.8414
"53",1617168,"Elm Street Garage",4.5,32.7825,-96.7942
"54",2645957,"Jake's Uptown",3.25,32.8663,-96.742
"55",3239686,"Misha's Kitchen",3.5,32.792,-96.8165
"56",491451,"Wits End",3.25,32.7845,-96.7837
"57",4407839,"Vetted Well",3.625,32.7701,-96.7993
"58",628389,"The Social House - Dallas",2.5,32.7977,-96.8027
"59",4547725,"Big Texas Beer Fest (2016)",3.75,32.781,-96.7636
"60",9633,"Eno�۪s Pizza Tavern (Bishop Arts)",3.9047619047619,32.7484,-96.8284
"61",2588437,"Jake's Uptown",3.75,32.8158,-96.7791
"62",57984,"World Beer Company Bottle Shop",4.25,32.8154,-96.7701
"63",3165721,"One Dallas Center",4.25,32.7843,-96.797
"64",83986,"Strangeways",3.63888888888889,32.8118,-96.783
"65",1415504,"Lakewood Growler",3.51024590163934,32.836,-96.7513
"66",389819,"Trinity Groves",4,32.7791,-96.8286
"67",2645369,"Town Creek",3.75,32.9028,-96.7278
"68",122649,"Deep Ellum",3.83333333333333,32.7851,-96.7807
"69",4316201,"Alamo Drafthouse Dallas",3.80681818181818,32.7698,-96.7993
"70",2482920,"Texas Ale Project",3.39833333333333,32.786,-96.8181
"71",291661,"The Merc",4.5,32.781,-96.7964
"72",1988216,"Northhaven Park",3.5,32.9027,-96.8478
"73",515183,"The Irishman",4.125,32.9991,-96.7984
"74",1573571,"Nestos casa",3.875,32.7327,-96.6862
"75",3607,"Whole Foods Market",3.27777777777778,32.8716,-96.7658
"76",3131045,"My Beer Cave",4.125,32.9684,-96.7762
"77",2439007,"Blow N Go",3.75,32.6463,-96.8716
"78",5434323,"2016 Security Technical Sales Academy",4.25,32.9239,-96.8171
"79",474057,"Little Forest Hills",0,32.8183,-96.7083
"80",55784,"Bolsa",4,32.7493,-96.832
"81",27823,"Twisted Root Burger Company",3.125,32.7829,-96.7855
"82",460985,"The Gate in The Village",4.08333333333333,32.8574,-96.7669
"83",878334,"The Green Room",3.125,32.7847,-96.7841
"84",421660,"Swiss Avenue Historic District",4.5,32.8082,-96.7664
"85",4257034,"lh baseball fields",4.25,32.8791,-96.709
"86",3963698,"Fort Alexander II",3.75,32.9684,-96.7762
"87",153473,"Cotton Bowl",3.66666666666667,32.7789,-96.7605
"88",587064,"Knox Henderson",0,32.822,-96.786
"89",5605161,"Untapped Fest Dallas 2016",4.5,32.7783,-96.7608
"90",5398245,"Palencia Apartment Homes",4,32.9932,-96.7694
"91",2023620,"Cold Beer Company",3.27777777777778,32.7856,-96.7745
"92",5687846,"LTV Tower",4,32.7826,-96.7989
"93",1154130,"Red Raiders Of The Lost Ark",4,32.8343,-96.7655
"94",3612461,"Royal Park",4.25,32.8984,-96.8635
"95",1093146,"Dallas ""Gayborhood""",4.25,32.8109,-96.8112
"96",190045,"White Rock Lake",4.5,32.8339,-96.7214
"97",25284,"Bryan Street Tavern",4.41666666666667,32.7996,-96.7792
"98",5488231,"Haymaker",4.75,32.8097,-96.7699
"99",113377,"Deep Ellum Brewing Company",3.46212121212121,32.7809,-96.7814
"100",232689,"DoubleTree by Hilton Hotel Dallas - Market Center",4.25,32.7974,-96.8257
"101",9543,"Angry Dog",4.05769230769231,32.7831,-96.7836
"102",6030130,"Virtech Paralegal",4.25,32.9136,-96.8896
"103",2011898,"Ten 50 BBQ",3.71875,32.9635,-96.7234
"104",5362264,"The Crafty Irishman",3.57692307692308,32.7813,-96.7962
"105",1031018,"Truck Yard",3.45652173913043,32.8142,-96.7712
"106",4022755,"Dylan's BBQ Saloon",3.4,32.866,-96.9049
"107",2104873,"Deep Ellum Taproom",3.5705574912892,32.7807,-96.7814
"108",8903,"The Common Table",3.48387096774194,32.7983,-96.8061
"109",6227159,"Slater's 50/50",3.7125,32.8234,-96.7703
"110",5913729,"Peticolas Brewing Company Taproom",3.49972707423581,32.7967,-96.8289
"111",75918,"Lockhart Smokehouse",3.56666666666667,32.7494,-96.8286
"112",1299229,"St. Moritz Apartments",3.5,32.9637,-96.8144
"113",5686378,"Bluffview Growler",3.41964285714286,32.8616,-96.8513
"114",5615840,"Noble Rey Brewing",3.38385826771654,32.7777,-96.7901
"115",809644,"Dallas Beer Kitchen",3.56578947368421,32.8121,-96.7702
"116",311033,"Samuell-Grand Amphitheatre",3.5,32.7953,-96.7395
"117",4607643,"Scardello",2,32.7776,-96.7899
"118",818323,"Dallas Farmers Market",3.67391304347826,32.7776,-96.7893
"119",6199918,"Bowls & Tacos",3.31521739130435,32.7846,-96.7748
"120",1309061,"The Quixotic World - Theatre House & Magikal Event Space",2.66666666666667,32.784,-96.7823
"121",337181,"Southwest Airlines Corporate Headquarters",3.5,32.845,-96.8624
"122",282980,"Ad-Libs",3.25,32.7834,-96.7854
"123",8356,"Deep Sushi",4,32.7841,-96.7856
"124",5409719,"The Slap and Tickle Saloon",3.75,32.7929,-96.8121
"125",919838,"The Monterey by Windsor",0,32.8102,-96.794
"126",2205047,"Henry's Majestic",3,32.8269,-96.7849
"127",3451662,"Frankie's Downtown & The Underground",3.16666666666667,32.7804,-96.8007
"128",539,"Idle Rich Pub",4.25,32.7971,-96.8014
"129",6490089,"Big Guys",3,32.7841,-96.786
"130",3288362,"Sliquid",2.5,32.803,-96.8415
