"BeerId","BreweryName","BreweryURL","Style","ABV","IBU","BeerRating","TotalRatings","TotalCheckins","UniqueCheckins","MonthlyCheckins","Light","Smooth","Clean","Sweet","Woody","Zippy","Strong","Hoppy","Floral","Citrus","Milk","Dark","Creamy","Mouthfeel","Soft","Boozy","Caramel","Oatmeal","Dry","Malty","Piney","Grassy","Tart","Sour","Salty","Fruity","Heat","Bitter","Coffee","Roasty","Chocolate","Juicy","Funky","Acidic","Crushable"
2413611,"Braxton Brewing Company","/BraxtonBrewingCo","Pale Ale - American","5%","40",3.5,"1,530","1,925","1,746","11",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7005,"Cervecería Cuauhtémoc Moctezuma S.A. de C.V.","/cuamoc","Lager - North American Adjunct","4.8%","21",3.25,"43,255","59,729","48,975","514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9230,"Aviator Brewing Company","/aviatorbrew","IPA - American","6.7%","108",3.5,"20,041","30,950","22,420","143",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548057,"White Street Brewing Company","/WhiteStreetBrewingCo","IPA - American","7.5%","68",3.75,"11,293","17,366","12,528","154",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409082,"Taft's Brewing Company","/TaftsAleHouse","IPA - New England","7.5%","52",3.75,"935","1,123","1,057","148",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11397,"Great Lakes Brewing Company","/greatlakesbrewingco","Pale Ale - American","6%","45",3.5,"73,464","120,909","83,016","490",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2397815,"Rhinegeist Brewery","/Rhinegeist","IPA - Red","7%","62",3.75,"6,886","8,331","7,503","18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125345,"March First Brewing","/MarchFirstBrewing","Lager - Pale","4.7%","15",3.5,"313","364","349","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13560,"Kona Brewing Company","/konabrewing","Lager - Pale","4.6%","20",3.5,"204,661","332,039","231,720","2,813",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536931,"MadTree Brewing Company","/Madtree","Kölsch","4.7%","11",3.5,"16,581","26,405","18,596","374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
