BeerId,BeerName
5210,Mama's Little Yella Pils
52332,The Temptress
2289765,Projekt Mayhem
2642461,Not A Collaboration
1966351,Leo v. Ursus: Fortem
2662240,Tennessee Temptress
2306547,Big Chief's Bock
2586898,Citrus Jammer
687492,Summer's Wit
5773,Southern Pecan
2544781,Blackberry Crystal Wheat
1561902,Wee Heavy
2256861,Bourbon Barrel Aged Honey Porter
1612289,N10 Imperial Blended Ale
2635782,Extra Special Ballenger
836,Poperings Hommelbier
2130728,Bishop's Barrel No. 18
2381562,Draped Up
2507700,Divine Reserve No. 18
3784,Bud Light
3811,Miller Lite
880312,Fire Ant Funeral
2454011,CranJam
2293147,Aurelian Lure (Blend 5)
2513272,Red Russian
2413389,Russian Imperial Stout (2017)
2504072,Lacey Blonde
2505296,White IPA Batch 1
13388,Smithwick's
1199,Guinness Foreign Extra Stout
1310427,Cute Hoor Red Head Ale
7120,Murphy's Irish Red
4473,Guinness Draught
5991,Carlsberg
266065,Road 2 Ruin Double IPA
19004,Samuel Adams Utopias
853242,Mocha Merlin
2022323,Underdog IPA
2358056,Mór IPA
2399122,Banana And Clove Chocolate Stout
1562522,Xolotl
4996,Punkin Ale
1026561,Culebra Cut
1026563,Gavel Banger
2157962,West Side Amber Ale
2248329,Sound And Vision With Tart Cherries
1645750,Buckle Bunny
860134,Professor Black
9060,Hunahpu’s
2227777,Crystal Wheat
2289088,Irish Red (Nitro)
2256842,Habanero IPA
286137,Black Angel
793015,<U+5206> <U+6843> (Fen Táo)
1607252,Grapefruit IPA 2018
1205989,Chocolate Hazelnut Stout
805959,Off With Your Red
2212501,El Conejo
332174,Wonderlust
2084225,Queen of the Mist (Passion Fruit)
2282849,Green Chile Carta Verde
25055,Pioneer Porter
78492,Anniversary Ale
37001,Peace Pipe Pale Ale
10439,Enchanted Rock Red Ale
41968,Hauptstrasse Helles
38150,Not So Dumb Blonde Ale
49909,Carta Verde
2293296,Enigmatic Taxa
2267172,La Vie En Rose (Batch 6)
1582861,Dialed In (w/ Chardonnay & Gewurztraminer Juice)
388924,Grace and Grit™
1963052,Houston Haze
1127175,Double Dry Hopped Summer Street
1980283,Twenty Four
363457,Atrial Rubicite
2159005,Parker County Peach
1898546,Deconstructed Bomb! Chili Peppers
1863926,Deconstructed Bomb! Vanilla
1863933,Deconstructed Bomb! Cacao Nibs
